Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
plantedAloe3Harvest,blocks,Farming,,,Aloe Vera Plant,,Aloe-Vera-Pflanze,Planta de aloe vera,Plant d'aloe vera,Pianta di aloe vera,ベラプラント,알로에베라,Aloes,Planta de babosa,Растение «Алоэ вера»,Aloe Vera Bitkisi,芦荟植株,蘆薈植株
plantedBlueberry3Harvest,blocks,Farming,,,Blueberry Plant,,Heidelbeerpflanze,Planta de moras,Plant de myrtille,Pianta di mirtilli,ブルーベリープラント,블루베리,Czarna jagoda,Planta de mirtilo,Растение «Черника»,Yabanmersini Bitkisi,蓝莓植株,藍莓植株
plantedChrysanthemum3Harvest,blocks,Farming,,,Chrysanthemum,,Chrysantheme,Crisantemo,Chrysanthème,Crisantemo,菊,국화,Chryzantema,Crisântemo,Хризантема,Krizantem,菊花,菊花
plantedCoffee3Harvest,blocks,Farming,,,Coffee Plant,,Kaffeepflanze,Planta de café,Plant de café,Pianta di caffè,コーヒープラント,커피,Kawa,Planta de café,Растение «Кофейное дерево»,Kahve Bitkisi,咖啡植株,咖啡樹
plantedCorn3Harvest,blocks,Farming,,,Corn Plant,,Maispflanze,Planta de maíz,Plant de maïs,Pianta di granoturco,トウモロコシプラント,옥수수,Kukurydza,Planta de milho,Растение «Кукуруза»,Mısır Bitkisi,玉米植株,玉米植株
plantedCotton3Harvest,blocks,Farming,,,Cotton,,Baumwolle,Algodón,Coton,Cotone,綿花,목화,Bawełna,Algodão,Хлопок,Pamuk,棉花,棉花
plantedGoldenrod3Harvest,blocks,Farming,,,Goldenrod Flower,,Goldrutenpflanze,Flor de vara de oro,Fleur de gerbe d'or,Fiore di verga d'oro,アキノキリンソウの花,미역취 꽃,Nawłoć — kwiat,Flor de solidago,Цветок золотарника,Altınbaşak Çiçeği,秋麒麟花,麒麟草花
plantedGraceCorn3Harvest,blocks,Farming,,,Super Corn,,Super-Mais,Supermaíz,Super maïs,Granoturco super,スーパーコーン,슈퍼 옥수수,Super kukurydza,Supermilho,Суперкукуруза,Süper Mısır,超级玉米,超級玉米
plantedHop3Harvest,blocks,Farming,,,Hop Plant,,Hopfenpflanze,Planta de lúpulo,Plant de houblon,Pianta di luppolo,ホッププラント,홉,Chmiel,Planta de lúpulo,Растение «Хмель»,Şerbetçiotu Bitkisi,啤酒花植株,啤酒花植株
plantedMushroom3Harvest,blocks,Farming,,,Mushrooms,,Pilze,Setas,Champignons,Funghi,マッシュルーム,버섯,Grzyby,Cogumelos,Грибы,Mantarlar,蘑菇,蘑菇
plantedPotato3Harvest,blocks,Farming,,,Potato Plant,,Kartoffelpflanze,Planta de patata,Plant de pomme de terre,Pianta di patata,ジャガイモプラント,감자,Ziemniak,Planta da batata,Растение «Картофель»,Patates Bitkisi,土豆植株,土豆植株
plantedPumpkin3Harvest,blocks,Farming,,,Pumpkin Plant,,Kürbispflanze,Planta de calabaza,Plant de citrouille,Pianta di zucca,カボチャプラント,호박,Dynia,Planta de Abóbora,Растение «Тыква»,Bal Kabağı Bitkisi,南瓜植株,南瓜籐
plantedSnowberry3Harvest,blocks,Farming,,,Snowberry Plant,,Schneebeerenpflanze,Planta de baya de nieve,Plant de symphorine,Pianta di sinforina,セッコウボクプラント,스노우베리,Śnieguliczka,Planta de Baga-da-neve,Растение «Снежноягодник»,Kar Üzümü Bitkisi,雪莓植株,白漿果植株
plantedYucca3Harvest,blocks,Farming,,,Yucca Plant,,Yucca-Pflanze,Planta de yuca,Plant de yucca,Pianta di yucca,ユッカプラント,유카,Jukka,Planta de Yucca,Растение «Юкка»,Avize Ağacı Bitkisi,丝兰植株,絲蘭植株
plantedAloe3HarvestPlayer,blocks,Farming,,,Aloe Vera Plant,,Aloe-Vera-Pflanze,Planta de aloe vera,Plant d'aloe vera,Pianta di aloe vera,ベラプラント,알로에베라,Aloes,Planta de babosa,Растение «Алоэ вера»,Aloe Vera Bitkisi,芦荟植株,蘆薈植株
plantedBlueberry3HarvestPlayer,blocks,Farming,,,Blueberry Plant,,Heidelbeerpflanze,Planta de moras,Plant de myrtille,Pianta di mirtilli,ブルーベリープラント,블루베리,Czarna jagoda,Planta de mirtilo,Растение «Черника»,Yabanmersini Bitkisi,蓝莓植株,藍莓植株
plantedChrysanthemum3HarvestPlayer,blocks,Farming,,,Chrysanthemum,,Chrysantheme,Crisantemo,Chrysanthème,Crisantemo,菊,국화,Chryzantema,Crisântemo,Хризантема,Krizantem,菊花,菊花
plantedCoffee3HarvestPlayer,blocks,Farming,,,Coffee Plant,,Kaffeepflanze,Planta de café,Plant de café,Pianta di caffè,コーヒープラント,커피,Kawa,Planta de café,Растение «Кофейное дерево»,Kahve Bitkisi,咖啡植株,咖啡樹
